# stan_version_major = 2
# stan_version_minor = 33
# stan_version_patch = 0
# model = bernoulli_model
# start_datetime = 2023-10-13 01:40:23 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000 (Default)
#       delta = 0.800000 (Default)
#       kappa = 0.750000 (Default)
#       t0 = 10.000000 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1.000000 (Default)
#         stepsize_jitter = 0.000000 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = bernoulli.json
# init = 2 (Default)
# random
#   seed = 769305535 (Default)
# output
#   file = output.csv (Default)
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.33.0-rc1-74-g10b8ef0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 0.864925
# Diagonal elements of inverse mass matrix:
# 0.505499
-6.82837,0.953039,0.864925,1,3,0,7.2717,0.202256
-6.8035,1,0.864925,2,3,0,6.82869,0.20998
-7.73817,0.840059,0.864925,1,3,0,8.04156,0.106177
-8.55601,0.932186,0.864925,2,3,0,9.07512,0.0723063
-8.72363,0.995904,0.864925,2,3,0,8.87387,0.0672772
-8.3939,1,0.864925,1,1,0,8.78765,0.0776571
-8.34484,1,0.864925,1,1,0,8.56815,0.0793822
-8.33594,1,0.864925,1,1,0,8.53782,0.0797007
-8.33107,0.988976,0.864925,2,7,0,8.43505,0.501107
-7.69853,1,0.864925,1,1,0,8.29806,0.441853
-9.7037,0.568366,0.864925,1,1,0,9.73893,0.595657
-7.9174,1,0.864925,1,1,0,9.28495,0.464116
-7.36699,1,0.864925,1,1,0,7.83799,0.402737
-8.42005,0.527462,0.864925,2,3,0,10.9655,0.508383
-7.16785,1,0.864925,2,7,0,8.18144,0.148548
-6.8399,0.940345,0.864925,2,7,0,7.686,0.305948
-6.86566,0.786044,0.864925,2,3,0,8.36677,0.192867
-6.76196,0.989114,0.864925,1,3,0,6.96821,0.271244
-6.89829,0.952755,0.864925,1,3,0,7.05364,0.185978
-6.75032,1,0.864925,2,3,0,6.87007,0.258531
-6.74804,0.994328,0.864925,2,3,0,6.79046,0.249325
-8.38528,0.780935,0.864925,2,3,0,8.38629,0.0779564
-6.7822,0.963932,0.864925,1,3,0,8.90399,0.218306
-8.5534,0.668765,0.864925,1,3,0,9.55877,0.0723887
-7.00852,0.949985,0.864925,1,3,0,8.71322,0.167739
-6.75957,0.994586,0.864925,1,3,0,7.01938,0.231333
-6.74869,0.999096,0.864925,1,3,0,6.7665,0.254582
-7.18242,0.911765,0.864925,1,3,0,7.28826,0.376538
-7.2095,0.992798,0.864925,1,1,0,7.31236,0.380666
-7.23621,1,0.864925,2,7,0,7.23653,0.141806
-7.4211,0.975793,0.864925,1,1,0,7.44992,0.126401
-7.11795,1,0.864925,2,3,0,7.38233,0.153952
-7.3717,0.965048,0.864925,1,1,0,7.37943,0.130182
-7.64539,0.967235,0.864925,1,1,0,7.67056,0.111488
